題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,下列何者屬於顏面骨（facial bone）？,篩骨（ethmoid bone）,蝶骨（sphenoid bone）,顳骨（temporal bone）,下鼻甲（inferior nasal concha）,D,下鼻甲（inferior nasal concha）,無
2,肩帶（pectoral girdle）是由下列那兩塊骨頭所組成？,肩胛骨（scapula）與肱骨（humerus）,肩胛骨（scapula）與鎖骨（clavicle）,鎖骨（clavicle）與第一肋骨（1st rib）,鎖骨（clavicle）與胸骨（sternum）,B,肩胛骨（scapula）與鎖骨（clavicle）,無
3,觸診頸動脈脈搏時，須了解頸動脈與肌肉關係，下列敘述何者正確？,頸部淺層結構以胸鎖乳突肌（sternocleidomastoid）為界可以分成頸前三角與頸後三角,頸動脈脈搏觸診位置是在胸鎖乳突肌（sternocleidomastoid）後方，位在頸後三角中,胸鎖乳突肌（sternocleidomastoid）和頸動脈竇（carotid sinus）一樣，由第9對腦神經支配,胸鎖乳突肌（sternocleidomastoid）緊繃可能導致頸動脈壓迫，造成脈搏消失,A,頸部淺層結構以胸鎖乳突肌（sternocleidomastoid）為界可以分成頸前三角與頸後三角,無
4,下列何者最不可能參與自主神經系統的調控？,腦幹（brain stem）,下視丘（hypothalamus）,脊髓（spinal cord）,基底核（basal nuclei）,D,基底核（basal nuclei）,無
5,下列何者最難以透過體表觸摸（surface palpation）的方式，觸摸到該構造？,頸靜脈切迹（jugular notch）,坐骨粗隆（ischial tuberosity）,脛骨粗隆（tibial tuberosity）,坐骨棘（ischial spine）,D,坐骨棘（ischial spine）,無
6,下列何者的動作類型屬於單軸活動（uniaxial movement）？,寰樞關節（atlantoaxial joint）,腕骨間關節（intercarpal joint）,腕關節（wrist joint）,髖關節（hip joint）,A,寰樞關節（atlantoaxial joint）,無
7,下列何者的起始點（origin）位於恥骨嵴（pubic crest）及恥骨聯合（pubic symphysis）？,腹直肌（rectus abdominis）,腹內斜肌（internal abdominal oblique）,腹外斜肌（external abdominal oblique）,腹橫肌（transversus abdominis）,A,腹直肌（rectus abdominis）,無
8,下列何者附著於薦骨前方（anterior sacrum）？,梨狀肌（piriformis）,臀小肌（gluteus minimus）,臀中肌（gluteus medius）,臀大肌（gluteus maximus）,A,梨狀肌（piriformis）,無
9,下列關於大腦基底核（basal nuclei）的敘述，何者正確？,由於內囊（internal capsule）部分纖維會通過殼核（putamen）和豆狀核（lentiform nucleus），故殼核和豆狀核合稱為紋狀體（striatum）,間腦的底丘腦核（subthalamic nucleus）屬於基底核迴路的一部分，此處多巴胺神經元（dopaminergic neurons）的退化死亡會導致帕金森氏病（Parkinson's disease）,基底核迴路可以調控大腦皮質欲執行的動作之啟動與停止,基底核迴路以調控動作功能為主，因此與神經退化性疾病較有關係，並不參與精神疾病的病理機制,C,基底核迴路可以調控大腦皮質欲執行的動作之啟動與停止,無
10,某患者因為腦溢血造成喪失味覺的後遺症，則下列何者為最有可能受損的大腦部位？,頂葉（parietal lobe）,額葉（frontal lobe）,顳葉（temporal lobe）,腦島（insula）,D,腦島（insula）,無
11,下列何者不屬於臂叢神經（brachial plexus）的分支？,肩胛上神經（suprascapular nerve）,肩胛背神經（dorsal scapular nerve）,胸長神經（long thoracic nerve）,鎖骨上神經（supraclavicular nerve）,D,鎖骨上神經（supraclavicular nerve）,無
12,患者嚼肌（masseter muscle）區域的皮膚失去感覺且無法用力咬合，最可能是下列何者受損？,顏面神經（facial nerve）,上頜神經（maxillary nerve）,下頜神經（mandibular nerve）,舌咽神經（glossopharyngeal nerve）,C,下頜神經（mandibular nerve）,無
