題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,下列那一種參考架構已發展出治療真確度評量（fidelity measure）？,神經發展,Ayres感覺統合,視知覺,優勢本位,B,Ayres感覺統合,無
2,根據促進學習的四象限模式，當孩童不了解任務需求為何時，最適合使用下列何種策略來幫助孩童了解任務目標與需求？,口語提示,身體提示,非口語提示,示範,D,示範,無
3,根據自閉症者的優勢本位參考架構，下列職能治療師的做法何者是支持自主行為的指標？,評估孩童的障礙與缺陷,為孩童選擇適合他的治療活動,用愛好或興趣來獎勵或控制行為,支持自閉症者發展目標與興趣,D,支持自閉症者發展目標與興趣,無
4,下列何者不屬於功能性評估工具（functional assessment tool）？,School Function Assessment（SFA）,"Peabody Developmental Motor Scales, 2nd Edition（PDMS-2）",Functional Independence Measure for Children（WeeFIM System）,Sensory Processing Measure（SPM）,B,"Peabody Developmental Motor Scales, 2nd Edition（PDMS-2）",無
5,下列有關長期住院、遊戲剝奪（play deprivation）對兒童的影響，何者錯誤？,兒童的遊戲行為會退化到較早發展時期的表現,兒童遊戲時的注意力較短暫，且缺乏主動性及好奇心,兒童在醫院遊戲時完全沒有玩興（playfulness）,兒童遊戲時缺乏情感，較常出現焦慮,C,兒童在醫院遊戲時完全沒有玩興（playfulness）,無
6,工具使用為兒童學校參與的重要技巧，下列任務中，何者輔助手（assisting hand）的角色最為主動？,剪長方形,畫圖,寫字,貼貼紙,A,剪長方形,無
7,治療師在新生兒加護病房對舌頭過度後縮或突出的早產兒提供餵食準備策略，下列做法何者錯誤？,間歇性的支持下巴，增加穩定度,溫和的按摩臉頰，協助放鬆,餵食前先做幾分鐘的非營養性吸吮練習,餵食稀釋的流質液體，使嬰兒容易吞嚥,D,餵食稀釋的流質液體，使嬰兒容易吞嚥,無
8,下列有關唐氏症（Down syndrome）個案的敘述，何者錯誤？,唐氏症是一種染色體異常的疾病，第21對染色體少一條所導致,唐氏症兒童通常伴隨發育遲緩及智能障礙,唐氏症兒童常見的面部特徵包括臉部及鼻樑扁平，脖子短且粗壯,唐氏症兒童通常肌肉張力較低,A,唐氏症是一種染色體異常的疾病，第21對染色體少一條所導致,無
9,下列有關注意力不足過動症介入的敘述，何者錯誤？,中樞神經抑制性藥物治療可幫助兒童降低其衝動行為,藥物治療的副作用包括體重下降、食慾不振、睡眠受影響,目前無研究證據顯示，長期使用藥物治療會造成成癮,行為介入有助於提升自我行為控制,A,中樞神經抑制性藥物治療可幫助兒童降低其衝動行為,無
10,有關脊柱裂（spina bifida）中脊髓脊膜膨出（myelomeningocele）之敘述，下列何者正確？,為脊柱裂中最輕微之類型,最常發生在胸椎或腰椎,若發生在胸椎或腰椎，其下肢肌肉通常會出現痙攣,大部分患者智力不會受到影響,B,最常發生在胸椎或腰椎,無
11,對於認知差或有學習障礙的孩童，教導動作學習時，那一種方式最不適當？,需要較長時間的重複練習，才可促進學習,一開始可以利用手部引導的回饋方式，使孩童獲得動作概念,當孩童執行完動作任務後，應等個幾秒處理自身的回饋後再給外在回饋,利用隨機練習的方式促進孩童類化能力,D,利用隨機練習的方式促進孩童類化能力,無
12,在評估有焦慮與憂鬱的學齡兒童時，最先需要使用的評估工具是那一種？,建立職能剖面（occupational profile）,自陳式評估工具（self-report assessment tools）,觀察為主的評估（observation-based assessment）,以團隊為基礎的評量表（team-based rating scales）,A,建立職能剖面（occupational profile）,無
13,下列那一種參考架構主張親子關係是治療介入最為有力的情境？,優勢本位,感覺統合,感覺治療與研究（STAR）,促進兒童職能（SCOPE-IT）,C,感覺治療與研究（STAR）,無
14,關於「活動」這個正規工具（legitimate tool）的敘述，下列何者正確？,活動合成是用來確認活動的組成要素,運用治療師設定目的的活動需要具備活動分析與活動合成的技巧，但目的性活動只需要具備鼓勵兒童參與的技巧,治療師運用活動合成之前需要先進行活動分析，並以活動合成來引導特定參考架構的運用,活動合成包括治療師調整活動或環境以滿足治療目標,D,活動合成包括治療師調整活動或環境以滿足治療目標,無
15,關於參考架構要素中的功能／失能連續體（continuum）之敘述，下列何者正確？,每個參考架構都僅有一個功能／失能連續體,功能／失能連續體將人類表現清楚劃分成好或壞、能或不能的兩個分類,功能／失能連續體的行為指標可以讓治療師評估個案的優勢與弱勢並據以設計介入方案,功能／失能連續體是行為指標的列表，不包括生理徵兆或測驗分數,C,功能／失能連續體的行為指標可以讓治療師評估個案的優勢與弱勢並據以設計介入方案,無
16,"關於神經發展治療（Neuro-Developmental Treatment, NDT）參考架構的評估指引，下列敘述何者正確？",神經發展治療評估的核心前提是以分析姿勢與動作為主，與功能表現無關,神經發展治療的檢查過程是團體式評估，可以比較出兒童與同儕的差異,神經發展治療目前沒有可用的標準化評估，但有結構式的評估指引,治療師使用神經發展治療評估時，主要關注兒童的動作角度與肌力大小,C,神經發展治療目前沒有可用的標準化評估，但有結構式的評估指引,無
17,下列有關於視知覺的訓練，何者最不適當？,在玩具箱中找出一個特定的玩具，主要是訓練前景－背景的能力,看著黑板上的注音順序在自己的桌上排注音卡，主要是訓練追視的能力,在數字卡中找出紅色數字5的字卡，主要是訓練視覺注意力,在書桌上辨別被書本覆蓋一半的鉛筆和彩色筆，主要是訓練視覺完形能力,B,看著黑板上的注音順序在自己的桌上排注音卡，主要是訓練追視的能力,無
18,下列何者是使用Ayres感覺統合參考架構的職能治療特點？,強調重複刺激的重要性,有一套固定的治療活動,以建立技巧為目標,透過更有效的中樞神經系統之訊息處理，來改善孩童的自我調節、知覺及認知,D,透過更有效的中樞神經系統之訊息處理，來改善孩童的自我調節、知覺及認知,無
19,孩童常因行動的時機點拿捏不好而造成東西掉落、被打到或撞到等意外。從感覺統合的觀點來看，孩童的表現最可能是下列何種問題的表徵？,前庭兩側整合缺陷,本體覺知覺缺陷,排序缺陷,視覺運用障礙,B,本體覺知覺缺陷,無
20,有關尋找書寫介入的最佳挑戰點，下列敘述何者正確？,對於類別性困難度（nominal difficulty）低的任務，示範可促進自發性的行動計畫,對於類別性困難度（nominal difficulty）高的任務，隨機練習可促進最大學習效果,對於類別性困難度（nominal difficulty）低的任務，使用隨機練習可有最大的學習潛力,對於功能性困難度（functional difficulty）低的任務，練習初期使用隨機練習較佳,C,對於類別性困難度（nominal difficulty）低的任務，使用隨機練習可有最大的學習潛力,無
21,下列有關於肌肉張力的敘述，何者最適當？,徐動型腦麻孩童肌肉張力浮動的表現是動作起始困難,腰椎前凸（lordosis）是肌肉張力過低的孩童常見的坐姿代償方式,較冰冷的溫度可以促進肌肉張力下降,情緒波動大會使肌肉張力下降,B,腰椎前凸（lordosis）是肌肉張力過低的孩童常見的坐姿代償方式,無
22,治療師評估小翔的爬行動作時，觀察到小翔是用兔子跳的方式來代替肚子離地爬行。在神經發展治療參考架構中，這最可能是那一項功能障礙指標？,動作分離,姿勢控制與平衡,協調,身體排列與承重方式,A,動作分離,無
23,下列那一項敘述最少利用到教與學過程（teaching-learning process）？,職能治療師教導媽媽回去如何幫孩童擺位,利用虛擬實境遊戲作為孩童完成任務的獎勵,職能治療師讓孩童在活動中有嘗試錯誤的機會,職能治療師一步步示範活動步驟，讓孩童重複練習,B,利用虛擬實境遊戲作為孩童完成任務的獎勵,無
24,關於社交故事（social stories）的敘述，下列何者錯誤？,常用來促進孩童社會參與的行為管控方法之一,提供認知線索，提示孩童在特定社交情境中或感到壓力的狀況下應選擇何種行為,以行為制約為基礎做介入,結構包含：描述句、觀點句、肯定句及指示性文句,C,以行為制約為基礎做介入,無
25,有關發展書寫技巧，Guadagnoli及 Lee提出的最佳挑戰點理論（Theory of Optimal Challenge Point），下列敘述何者錯誤？,最佳挑戰點是指產生最佳學習的時機,讓一個五年級的孩童寫「大」跟一個大班孩童寫「大」，其功能性任務困難度是一樣的,對於類別性困難度低的任務適合用隨機練習,在學習初期，利用區段練習的情境干擾程度較低,B,讓一個五年級的孩童寫「大」跟一個大班孩童寫「大」，其功能性任務困難度是一樣的,無
26,下列何者較不屬於有關視覺記憶功能障礙的敘述？,難以將視覺訊息儲存到記憶中,認識、配對或回想視覺訊息的能力不足,難以確定物品與設施的位置,字母會寫反,C,難以確定物品與設施的位置,無
27,關於感覺統合理論中所提及的適應性反應（adaptive responses），下列敘述何者錯誤？,適應性反應是驅使孩童發展進步的有利因素之一,適應性反應是大腦成功整合感覺訊息的結果,即使沒有成功克服活動的挑戰，也可以是一個適應性反應,要做出適應性反應，孩童必須主動參與,C,即使沒有成功克服活動的挑戰，也可以是一個適應性反應,無
28,有關兒童手傷治療中所使用的物理因子治療器材（physical agent modalities），下列敘述何者錯誤？,淺層熱療媒介（superficial thermal agents）的熱療不應在感覺損傷區，或是剛完成神經重建時使用,淺層熱療媒介（superficial thermal agents）的冷療（cryotherapy）常在療程結束後使用，以降低疼痛,神經肌肉電刺激（neuromuscular electrical stimulation）常用來協助獲得主動性關節活動度（AROM）,超音波（ultrasound）利用音波進入人體後，轉變成深層熱能方式進行，學齡前孩童為建議使用對象,D,超音波（ultrasound）利用音波進入人體後，轉變成深層熱能方式進行，學齡前孩童為建議使用對象,無
29,下列何者不屬於成熟型態的握筆姿勢？,動態四指（dynamic quadripod）握法,側邊四指（lateral quadripod）握法,側邊三指（lateral tripod）握法,靜態三指（static tripod）握法,D,靜態三指（static tripod）握法,無
30,職能治療師使用Ayres Sensory Integration ® （ASI）理論參考架構作為治療依據，單次療程的原則步驟順序為：①多元刺激輸入為主的主動感覺動作遊戲；② 動作運用為主的主動感覺動作遊戲；③暖身；④以社交為主的點心時間,③②①④,③①②④,④③①②,④③②①,B,③①②④,無
31,關於當代動作控制理論：動態系統（dynamic systems）理論的原則，下列敘述何者錯誤？,次序參數（order parameters）可用來描述動作組成的特性，協助區分不同的動作,控制參數（control parameters）可影響次序參數（order parameters）的穩定性，與動作型態品質相關,當系統中經歷次序參數（order parameters）的變化時，就會產生新的動作型態,系統受到干擾（perturbation）的結果，讓原先的行為型態轉化成新型態,C,當系統中經歷次序參數（order parameters）的變化時，就會產生新的動作型態,無
32,"有關認知導向日常職能表現（Cognitive Orientation to daily Occupational Performance, CO-OP）介入的四個主要目標，不包含下列何項？",技巧獲得,概化,認知策略使用,自我認同,D,自我認同,無
33,Ayres認為動作運用障礙孩童常合併下列那一項障礙？,感覺防禦,重力不安全感,觸覺區辨,聽覺區辨,C,觸覺區辨,無
