題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,有關生理疾病職能治療的起源，下列敘述何者錯誤？,第一次世界大戰後興起,病人傷後的存活率上升，慢性疾病增加,醫院中對於職能治療師的需求增加,職能治療師從原本著重功能、職業訓練，轉向以副木、輔具的製作為主,D,職能治療師從原本著重功能、職業訓練，轉向以副木、輔具的製作為主,無
2,早期美國職能治療發展過程中，曾出現過各種名稱，包括：人因治療（ergo-therapy）、活動治療（activity therapy）及作業治療（occupation treatment），由下列那一位學者的建議，才正名為職能治療（occupational therapy）？,William Rush Dunton,George Edward Barton,Herbert Hall,Susan Tracy,B,George Edward Barton,無
3,有關實務模式與其發展者的配對，下列何者錯誤？,"人類職能模式（Model of Human Occupation, MOHO）主要是由蓋瑞凱爾霍夫納（Gary Kielhofner）所發展",感覺統合（Sensory Integration）學說是由珍愛爾斯（Jean Ayres）所提出,職能調適（Occupational Adaptation）是由瑪莉萊莉（Mary Reilly）所提出,神經發展治療（Neurodevelopmental Treatment）是由玻巴斯夫婦（Bobath）所提出,C,職能調適（Occupational Adaptation）是由瑪莉萊莉（Mary Reilly）所提出,無
4,有關臺灣職能治療學會之敘述，下列何者較不適切？,凡是對於職能治療專業有興趣及熱忱的一般民眾皆可申請成為個人會員,學會的任務之一是建立並維持職能治療的專業倫理,學會的宗旨為促進職能治療之發展與服務社會,學會會員有定期繳納會費的義務,A,凡是對於職能治療專業有興趣及熱忱的一般民眾皆可申請成為個人會員,無
5,自由（freedom）為職能治療核心價值與態度之一。下列與職能治療師相關之敘述，何者代表自由？,提供支持及鼓勵使個案發揮內在潛能,謹慎並表現出良好的判斷及辨別能力,以關懷及熱忱表現出對專業及個案的承諾,以公正及不偏心的態度對待所有個案,A,提供支持及鼓勵使個案發揮內在潛能,無
6,職能治療強調提升個案的功能及獨立性，但在某些強調集體主義的國家，職能治療師在實務上除了考量個體的獨立性之外，也會考慮家人及社會支持系統的協助，不一味的強調個體必須完全獨立。此觀點符合那一項當代職能治療的實務原則？,以個案為中心（client-centered）,以家庭為中心（family-centered）,以職能為中心（occupation-centered）,與文化相關（culturally relevant）,D,與文化相關（culturally relevant）,無
7,職能治療實習生在臨床上的責任，下列敘述何者錯誤？,於時限內完成臨床老師所訂定的臨床工作,完成臨床老師所訂定的學術作業,服從職能治療倫理的規範與守則,在沒有臨床老師的監督下，能獨立完成個案的治療,D,在沒有臨床老師的監督下，能獨立完成個案的治療,無
8,有關健康照護專業人員照護個案所需具備的基本美德（virtue），不包括下列何者？,仁慈心（benevolence）,具備能力（competence）,忠誠心（fidelity）,熱忱心（compassion）,C,忠誠心（fidelity）,無
9,「大賣場入口採用感應式電動門，一般人方便推購物車出入，且輪椅使用者亦方便出入」，此設計理念符合那一項通用設計（universal design）原則？,公平使用性（equitable use）,直覺使用性（intuitive use）,省能性（low physical effort）,容錯性（tolerance for error）,A,公平使用性（equitable use）,無
10,因災難被遷居到永久屋的腦中風長者，覺得永久屋雖然很新、政府也送很多新的又溫馨的家具，但還是覺得自己「不是住在家裡、不知身在何處」的感覺。這種現象，Relph（1976/2008）稱為：,存在的內在感,存在的外在感,客觀的外在感,替代性內在感,B,存在的外在感,無
11,在以家庭為中心的介入中，下列那一位是擔任文化仲介角色（culture-brokering role）的成員？,24小時照顧個案的外籍看護,為個案的疾病介入付費的那位家人,與個案感情最親密的那位家人,陪伴治療且與治療師討論介入內容的那位家人,D,陪伴治療且與治療師討論介入內容的那位家人,無
12,有關失能的復健模式（rehabilitation model）觀點，下列何者錯誤？,要透過調適來因應失能的結果,改變失能的機制是復健,失能是一種功能的損失,失能是根源於社會結構問題,D,失能是根源於社會結構問題,無
13,手扶梯是屬於下列那一種科技設計？,無障礙設計（accessible design）,人工智慧科技（AI technologies）,智慧型科技（smart technologies）,通用設計（universal design）,D,通用設計（universal design）,無
