題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
1,下列何者與膝關節屈曲（knee flexion）最不相關？,股四頭肌（quadriceps femoris）,股二頭肌（biceps femoris）,半膜肌（semimembranosus）,半腱肌（semitendinosus）,A,股四頭肌（quadriceps femoris）,無
2,下列何者為屈指淺肌（flexor digitorum superficialis）的遠端附著點？,遠端指骨（distal phalanx）,中間指骨（middle phalanx）,近端指骨（proximal phalanx）,掌骨基底（base of metacarpal）,B,中間指骨（middle phalanx）,無
3,下列那一條脊神經（spinal nerve）會支配腰方肌（quadratus lumborum）？,T9,T10,T11,T12,D,T12,無
4,下列何者為頸椎（cervical vertebra）特有的結構？,上肋關節面（superior costal facet）,上關節突（superior articular process）,橫突（transverse process）,橫突孔（transverse foramen）,D,橫突孔（transverse foramen）,無
5,人體內的真肋（true rib）與假肋（false rib）分別有幾對？,7；5,9；3,8；4,10；2,A,7；5,無
6,下列有關纖維關節（fibrous joint）的敘述，何者錯誤？,骨縫（suture）屬於不可動的纖維關節,是由緻密纖維結締組織（dense fibrous connective tissue）構成,釘狀聯合（gomphosis）屬不可動的纖維關節,恥骨聯合（pubic symphysis）屬於纖維關節,D,恥骨聯合（pubic symphysis）屬於纖維關節,無
7,下列那條神經受損會使肛門外括約肌（external anal sphincter）收縮異常？,臀下神經（inferior gluteal nerve）,腹下神經（hypogastric nerve）,後股皮神經（posterior femoral cutaneous nerve）,陰部神經（pudendal nerve）,D,陰部神經（pudendal nerve）,無
8,圖中紅色箭頭標示的構造名稱為何？,乳頭體（mammillary body）,腦下腺（pituitary gland）,松果腺（pineal gland）,穹窿（fornix）,A,乳頭體（mammillary body）,images/Q08_圖.png
9,下列何者不屬於中樞神經系統？,基底神經核（basal nuclei）,嗅球（olfactory bulb）,胼胝體（corpus callosum）,頸上神經節（superior cervical ganglion）,D,頸上神經節（superior cervical ganglion）,無
10,眼球晶狀體（lens）是由下列何者發育所形成？,外胚層（ectoderm）,內胚層（endoderm）,中胚層（mesoderm）,視杯（optic cup）,A,外胚層（ectoderm）,無
11,下列何者由滑車神經（trochlear nerve）所支配？,上斜肌（superior oblique）,上直肌（superior rectus）,下斜肌（inferior oblique）,外直肌（lateral rectus）,A,上斜肌（superior oblique）,無
12,下列何者是介於外耳道與中耳的結構？,鼓膜（tympanic membrane）,前庭膜（vestibular membrane）,圓窗（round window）,卵圓窗（oval window）,A,鼓膜（tympanic membrane）,無
13,下列何種狀況會出現第一心音？,動脈血回流,半月瓣（semilunar valve）關閉,房室瓣（atrioventricular valve）關閉,半月瓣（semilunar valve）及房室瓣（atrioventricular valve）同時關閉,C,房室瓣（atrioventricular valve）關閉,無
14,彈性動脈（elastic artery）中，大量的彈性纖維主要位在血管壁中的那一層？,內層（tunica intima）,內皮下層（subendothelial layer）,中層（tunica media）,外層（tunica externa）,C,中層（tunica media）,無
15,右側大部分的後肋間靜脈（posterior intercostal vein）會直接注入下列何者？,半奇靜脈（hemiazygos vein）,胸內靜脈（internal thoracic vein）,椎靜脈（vertebral vein）,奇靜脈（azygos vein）,D,奇靜脈（azygos vein）,無
16,除睪丸外，下列何種內分泌器官亦可分泌少量雄性激素？,腦下腺前葉（anterior lobe of pituitary gland）,副甲狀腺（parathyroid gland）,腎上腺（adrenal gland）,甲狀腺（thyroid gland）,C,腎上腺（adrenal gland）,無
