題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,健康年輕人，當體內肺泡微血管中血液停留時間縮短為一半時，會發生什麼情形？,血液無法充分飽和氧氣，造成缺氧,血液仍能在短時間內完全飽和氧氣,氧氣擴散速度減慢,肺泡氣體交換功能消失,B,血液仍能在短時間內完全飽和氧氣,B,,無
2,有關表面脂蛋白（apoprotein）的相關敘述，下列何者錯誤？,表面脂蛋白是脂蛋白分子上之蛋白質，與血脂代謝相關,表面脂蛋白功能之一為穩定脂蛋白結構,表面脂蛋白為疏水性,表面脂蛋白A為高密度脂蛋白之主要表面脂蛋白,C,表面脂蛋白為疏水性,C,,無
3,關於平靜呼吸的動作功能，下列何者正確？,吸氣時橫膈的圓頂（dome）下沉，增加腹內壓,吸氣時橫膈的圓頂（dome）下沉，增加胸內壓,呼氣時有賴腹肌收縮，增加腹內壓,呼氣時有賴腹肌收縮，增加胸內壓,A,吸氣時橫膈的圓頂（dome）下沉，增加腹內壓,A,,無
4,下列那一項是阻塞性與限制性肺疾病在危險因子上的主要差異？,環境與職業暴露僅與阻塞性肺疾病相關,自體免疫疾病與限制性肺疾病較有相關,抽菸是限制性肺疾病的主要危險因子,神經肌肉疾病主要是阻塞性肺疾病的危險因子,B,自體免疫疾病與限制性肺疾病較有相關,B,,無
5,使用支氣管擴張藥物的運動誘發氣喘患者，在執行運動計畫時應如何安排？,運動前30分鐘使用,運動後立即使用,急性發作時使用,無需特別安排,A,運動前30分鐘使用,A,,無
6,病患的收縮壓為160 mmHg、脈壓（pulse pressure）為60 mmHg，其平均動脈壓為何？,60 mmHg,90 mmHg,120 mmHg,150 mmHg,C,120 mmHg,C,,無
7,臨床上心臟超音波常被用來評估下列項目，何者不包括在內？,心室大小、功能、心臟周期中室壁的厚度,心臟瓣膜的結構和動作,冠狀動脈狹窄的血管數目,先天性心臟病、心肌病變,C,冠狀動脈狹窄的血管數目,C,,無
8,下列何者為心肌受損後，最早開始上升的血液生化值？,肌鈣蛋白I（Troponin I）,肌酸激酶-MB同功酶（CK-MB）,乳酸脫氫酵素（LDH）,血清麩胺酸草醋酸轉胺酶（SGOT）,A,肌鈣蛋白I（Troponin I）,A,,無
9,你是急性病房的物理治療師，患者昨日剛進行心血管相關介入程序，則今日治療時，下列那幾位的患側肩膀不能抬高超過90度？①ICD ②CRT ③POBA ④CABG（sternotomy）,①②③④,僅①②④,僅③④,僅①②,D,僅①②,D,,無
10,依據美國運動醫學會運動參與前健康篩檢程序（ACSM preparticipation screening algorithm）指示，下列敘述何者錯誤？,28歲李小姐最近出現運動時頭暈，雖然她每週都有慢跑三次，若欲繼續進行中等強度運動，應先接受醫學評估,62歲張女士有規律運動，患有慢性腎臟病，目前無明顯症狀，若想進行中等強度運動，應先取得醫師許可,58歲陳先生已被診斷有第二型糖尿病，但血糖控制穩定，且規律運動三年，目前無症狀，欲開始高強度運動前，建議先諮詢醫師,50歲蔡先生沒有已知疾病，也沒有症狀，近一年也沒有規律運動，他想開始中強度跑步運動，不需醫師許可,B,62歲張女士有規律運動，患有慢性腎臟病，目前無明顯症狀，若想進行中等強度運動，應先取得醫師許可,B,,無
11,以本體感覺促進式技巧（PNF techniques）對一位大腿後肌（hamstrings）緊繃的運動員進行伸展運動，請其在被動延展（passive stretch）的狀況下進行等長（isometric）收縮。此hold-relax手法之目的是欲刺激肌肉的哪個受器，使肌肉達到放鬆的效果？,高爾肌腱器（Golgi tendon organs）,肌梭（muscle spindles）,巴齊尼氏小體（Pacinian corpuscle）,魯菲尼小體（Ruffini endings）,A,高爾肌腱器（Golgi tendon organs）,A,,無
12,肝肺症候群三要素（triad of hepatopulmonary syndrome），不包括下列那一項？,慢性肝臟疾病,肺內血管擴張,動脈血氧不足,腹水及肋膜積水,D,腹水及肋膜積水,D,,無
13,居家患者診斷有POTS（postural orthostatic tachycardia syndrome），有關治療策略之敘述，下列何者較不適切？,採用漸進式運動，特別強化下肢和核心肌群,從躺式（recumbent）運動開始，漸進至直立運動,運動時建議使用腹部及下肢加壓帶,鼓勵減少飲食中的鈉含量和水分攝取,D,鼓勵減少飲食中的鈉含量和水分攝取,D,,無
14,下列那位乳癌患者的癌症分期為第四期？,T1N2M0,T2N2M1,T3N1M0,T4N3M0,B,T2N2M1,B,,無
15,有關緩和醫療的描述，下列何者錯誤？,常與安寧照護／臨終照護通用,以個案為中心提供全人、全家、全程的整體服務,仍應積極給予運動治療，協助患者日常功能,不應積極處理不舒適的症候,D,不應積極處理不舒適的症候,D,,無
16,一位接受氧氣治療的患者，其鼻導管氧氣流速為3 L/min，此患者吸入的氧氣濃度（FiO2）約為多少？,15％,21％,32％,45％,C,32％,C,,無
17,"下列那個因素最不影響胸腔手術患者術後肺部併發症（Postoperative Pulmonary Complications, PPCs）的發生機率？",手術方式,患者本來的肺功能,患者術後的疼痛程度,患者的性別,D,患者的性別,D,,無
18,在病歷上，你看到醫師給病人處方「氧氣補充3 lpm」，則下列判讀何者正確？,3 lpm代表每分鐘3公升氧的補充，此患者吸入的氧濃度約為32％,3 lpm代表每分鐘3公升氧的補充，此患者吸入的氧濃度約為24％,3 lpm代表補充3％的氧，此患者吸入的氧濃度約為24％,3 lpm代表給患者吸3％氧濃度的氣體,A,3 lpm代表每分鐘3公升氧的補充，此患者吸入的氧濃度約為32％,A,,無
