題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
1,下列何者是內收大肌（adductor magnus）的近端附著點？,坐骨粗隆（ischial tuberosity）,臀肌粗隆（gluteal tuberosity）,髂前上棘（anterior superior iliac spine）,大轉子（greater trochanter）,A,坐骨粗隆（ischial tuberosity）,A,,無
2,下列何者支配臀大肌（gluteus maximus）？,臀下神經（inferior gluteal nerve）,臀上神經（superior gluteal nerve）,下臀皮神經（inferior cluneal nerve）,上臀皮神經（superior cluneal nerve）,A,臀下神經（inferior gluteal nerve）,A,,無
3,下列何者不是由正中神經（median nerve）所支配？,外展拇短肌（abductor pollicis brevis）,屈拇短肌（flexor pollicis brevis）,對掌拇肌（opponens pollicis）,內收拇肌（adductor pollicis）,D,內收拇肌（adductor pollicis）,D,,無
4,腦幹－脊髓所穿過的孔位於下列何者？,下頜骨（mandible）,蝶骨（sphenoid bone）,枕骨（occipital bone）,顳骨（temporal bone）,C,枕骨（occipital bone）,C,,無
5,外耳道和內耳道分別位於顳骨何區域？,鱗狀部（squamous part）；乳突（mastoid process）,鼓部（tympanic part）；岩部（petrous part）,乳突（mastoid process）；岩部（petrous part）,鱗狀部（squamous part）；鼓部（tympanic part）,B,鼓部（tympanic part）；岩部（petrous part）,B,,無
6,下列有那些步驟參與骨骼肌收縮？請排出正確順序：①鈣離子從肌漿網釋出；②神經衝動傳至神經肌肉接合處；③乙醯膽鹼釋放刺激肌膜；④鉀離子從神經釋放；⑤鈣離子與肌絲結合後收縮,②③①⑤,④②③①⑤,②④①③⑤,②①③⑤,A,②③①⑤,A,,無
7,下列何者存在於軟骨中？,血管,神經,類骨質（osteoid）,軟骨細胞（chondrocyte）,D,軟骨細胞（chondrocyte）,D,,無
8,下列何者從橫膈（diaphragm）中間穿過？,主動脈（aorta）,下腔靜脈（inferior vena cava）,胸管（thoracic duct）,奇靜脈（azygos vein）,B,下腔靜脈（inferior vena cava）,B,,無
9,鎖骨（clavicle）外側端與下列何者相連接？,喙突（coracoid process）,肩峰（acromion）,關節盂（glenoid cavity）,大結節（greater tubercle）,B,肩峰（acromion）,B,,無
10,旋前－旋後（pronation-supination）的動作，主要靠下列何關節的作用？,肘關節（elbow joint）,掌指關節（metacarpophalangeal joint）,肩關節（shoulder joint）,橈尺關節（radioulnar joint）,D,橈尺關節（radioulnar joint）,D,,無
